/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-104.maverick2.tacc.utexas.edu
Mon Oct 24 13:02:32 CDT 2022
start training tiramisu 128
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10000
2022-10-24 13:05:41.680906 epoch 1: loss: 0.02640 | coarse loss: 0.02118
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-24 15:55:18.020460 epoch 65: loss: 0.00843 | coarse loss: 0.02118
2022-10-24 15:57:56.732614 epoch 66: loss: 0.00833 | coarse loss: 0.02118
2022-10-24 16:00:35.416401 epoch 67: loss: 0.00837 | coarse loss: 0.02118
2022-10-24 16:03:14.067608 epoch 68: loss: 0.00831 | coarse loss: 0.02118
2022-10-24 16:05:52.789812 epoch 69: loss: 0.00834 | coarse loss: 0.02118
2022-10-24 16:08:31.502819 epoch 70: loss: 0.00830 | coarse loss: 0.02118
2022-10-24 16:11:10.236177 epoch 71: loss: 0.00839 | coarse loss: 0.02118
2022-10-24 16:13:48.988265 epoch 72: loss: 0.00829 | coarse loss: 0.02118
2022-10-24 16:16:27.716658 epoch 73: loss: 0.00825 | coarse loss: 0.02118
2022-10-24 16:19:06.357788 epoch 74: loss: 0.00826 | coarse loss: 0.02118
2022-10-24 16:21:45.856249 epoch 75: loss: 0.00838 | coarse loss: 0.02118
2022-10-24 16:24:24.694860 epoch 76: loss: 0.00823 | coarse loss: 0.02118
2022-10-24 16:27:04.049350 epoch 77: loss: 0.00815 | coarse loss: 0.02118
2022-10-24 16:29:43.543131 epoch 78: loss: 0.00827 | coarse loss: 0.02118
2022-10-24 16:32:23.033912 epoch 79: loss: 0.00828 | coarse loss: 0.02118
2022-10-24 16:35:01.927876 epoch 80: loss: 0.00818 | coarse loss: 0.02118
2022-10-24 16:37:41.506641 epoch 81: loss: 0.00821 | coarse loss: 0.02118
2022-10-24 16:40:21.056530 epoch 82: loss: 0.00813 | coarse loss: 0.02118
2022-10-24 16:43:00.726245 epoch 83: loss: 0.00815 | coarse loss: 0.02118
2022-10-24 16:45:39.792194 epoch 84: loss: 0.00813 | coarse loss: 0.02118
2022-10-24 16:48:18.455571 epoch 85: loss: 0.00811 | coarse loss: 0.02118
2022-10-24 16:50:57.905587 epoch 86: loss: 0.00826 | coarse loss: 0.02118
2022-10-24 16:53:37.223979 epoch 87: loss: 0.00806 | coarse loss: 0.02118
2022-10-24 16:56:15.926621 epoch 88: loss: 0.00805 | coarse loss: 0.02118
2022-10-24 16:58:54.609020 epoch 89: loss: 0.00813 | coarse loss: 0.02118
2022-10-24 17:01:34.089284 epoch 90: loss: 0.00808 | coarse loss: 0.02118
2022-10-24 17:04:12.831761 epoch 91: loss: 0.00819 | coarse loss: 0.02118
2022-10-24 17:06:51.518765 epoch 92: loss: 0.00804 | coarse loss: 0.02118
2022-10-24 17:09:30.308718 epoch 93: loss: 0.00800 | coarse loss: 0.02118
