/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-107.maverick2.tacc.utexas.edu
Mon Oct 24 17:28:39 CDT 2022
start training unet 128
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-24 17:29:27.753005 epoch 1: loss: 0.03232 | coarse loss: 0.02113
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-24 17:49:12.111841 epoch 65: loss: 0.00961 | coarse loss: 0.02119
2022-10-24 17:49:30.635391 epoch 66: loss: 0.00945 | coarse loss: 0.02119
2022-10-24 17:49:49.275436 epoch 67: loss: 0.00943 | coarse loss: 0.02118
2022-10-24 17:50:07.843972 epoch 68: loss: 0.00993 | coarse loss: 0.02122
2022-10-24 17:50:26.471568 epoch 69: loss: 0.00941 | coarse loss: 0.02123
2022-10-24 17:50:44.941884 epoch 70: loss: 0.00930 | coarse loss: 0.02117
2022-10-24 17:51:03.538241 epoch 71: loss: 0.00930 | coarse loss: 0.02120
2022-10-24 17:51:22.050900 epoch 72: loss: 0.00926 | coarse loss: 0.02118
2022-10-24 17:51:40.572580 epoch 73: loss: 0.00923 | coarse loss: 0.02119
2022-10-24 17:51:59.133920 epoch 74: loss: 0.00920 | coarse loss: 0.02119
2022-10-24 17:52:17.597154 epoch 75: loss: 0.00923 | coarse loss: 0.02120
2022-10-24 17:52:36.009013 epoch 76: loss: 0.00911 | coarse loss: 0.02113
2022-10-24 17:52:54.387339 epoch 77: loss: 0.01043 | coarse loss: 0.02119
2022-10-24 17:53:12.853304 epoch 78: loss: 0.00988 | coarse loss: 0.02119
2022-10-24 17:53:31.448863 epoch 79: loss: 0.00920 | coarse loss: 0.02113
2022-10-24 17:53:50.026379 epoch 80: loss: 0.00990 | coarse loss: 0.02115
2022-10-24 17:54:08.540842 epoch 81: loss: 0.00960 | coarse loss: 0.02114
2022-10-24 17:54:27.090259 epoch 82: loss: 0.00935 | coarse loss: 0.02119
2022-10-24 17:54:45.464940 epoch 83: loss: 0.01032 | coarse loss: 0.02117
2022-10-24 17:55:03.908376 epoch 84: loss: 0.00924 | coarse loss: 0.02122
2022-10-24 17:55:22.348758 epoch 85: loss: 0.00907 | coarse loss: 0.02112
2022-10-24 17:55:40.782185 epoch 86: loss: 0.00906 | coarse loss: 0.02116
2022-10-24 17:55:59.190907 epoch 87: loss: 0.00912 | coarse loss: 0.02122
2022-10-24 17:56:17.560583 epoch 88: loss: 0.00904 | coarse loss: 0.02110
2022-10-24 17:56:36.080609 epoch 89: loss: 0.00907 | coarse loss: 0.02112
2022-10-24 17:56:54.478489 epoch 90: loss: 0.00905 | coarse loss: 0.02119
2022-10-24 17:57:12.850852 epoch 91: loss: 0.00890 | coarse loss: 0.02114
2022-10-24 17:57:31.311249 epoch 92: loss: 0.00897 | coarse loss: 0.02125
2022-10-24 17:57:49.964498 epoch 93: loss: 0.00898 | coarse loss: 0.02120
2022-10-24 17:58:08.517377 epoch 94: loss: 0.00928 | coarse loss: 0.02113
2022-10-24 17:58:26.911648 epoch 95: loss: 0.00968 | coarse loss: 0.02117
2022-10-24 17:58:45.641422 epoch 96: loss: 0.00936 | coarse loss: 0.02120
2022-10-24 17:59:04.129488 epoch 97: loss: 0.00903 | coarse loss: 0.02121
2022-10-24 17:59:22.635316 epoch 98: loss: 0.00893 | coarse loss: 0.02118
2022-10-24 17:59:41.111568 epoch 99: loss: 0.00887 | coarse loss: 0.02117
2022-10-24 17:59:59.645119 epoch 100: loss: 0.00881 | coarse loss: 0.02115
2022-10-24 18:00:18.087458 epoch 101: loss: 0.00894 | coarse loss: 0.02121
2022-10-24 18:00:36.754402 epoch 102: loss: 0.01040 | coarse loss: 0.02120
2022-10-24 18:00:55.283959 epoch 103: loss: 0.00920 | coarse loss: 0.02112
2022-10-24 18:01:13.833828 epoch 104: loss: 0.00901 | coarse loss: 0.02122
2022-10-24 18:01:32.256530 epoch 105: loss: 0.00887 | coarse loss: 0.02115
2022-10-24 18:01:50.770043 epoch 106: loss: 0.00887 | coarse loss: 0.02117
2022-10-24 18:02:09.195782 epoch 107: loss: 0.00880 | coarse loss: 0.02116
2022-10-24 18:02:27.703951 epoch 108: loss: 0.00882 | coarse loss: 0.02120
2022-10-24 18:02:46.184453 epoch 109: loss: 0.00885 | coarse loss: 0.02115
2022-10-24 18:03:04.756753 epoch 110: loss: 0.00878 | coarse loss: 0.02122
2022-10-24 18:03:23.316643 epoch 111: loss: 0.00879 | coarse loss: 0.02115
2022-10-24 18:03:41.979525 epoch 112: loss: 0.00869 | coarse loss: 0.02111
2022-10-24 18:04:00.524483 epoch 113: loss: 0.00875 | coarse loss: 0.02124
