/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-101.maverick2.tacc.utexas.edu
Tue Oct 25 11:35:09 CDT 2022
start training unet 256
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-25 11:36:59.628483 epoch 1: loss: 0.01214 | coarse loss: 0.00435
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-25 12:24:15.340177 epoch 65: loss: 0.00235 | coarse loss: 0.00434
2022-10-25 12:24:59.598476 epoch 66: loss: 0.00231 | coarse loss: 0.00435
2022-10-25 12:25:43.652959 epoch 67: loss: 0.00234 | coarse loss: 0.00436
2022-10-25 12:26:27.818715 epoch 68: loss: 0.00230 | coarse loss: 0.00434
2022-10-25 12:27:12.184899 epoch 69: loss: 0.00230 | coarse loss: 0.00435
2022-10-25 12:27:56.459600 epoch 70: loss: 0.00229 | coarse loss: 0.00435
2022-10-25 12:28:40.638743 epoch 71: loss: 0.00250 | coarse loss: 0.00436
2022-10-25 12:29:25.006230 epoch 72: loss: 0.00228 | coarse loss: 0.00435
2022-10-25 12:30:09.053531 epoch 73: loss: 0.00228 | coarse loss: 0.00435
2022-10-25 12:30:53.528167 epoch 74: loss: 0.00224 | coarse loss: 0.00435
2022-10-25 12:31:38.174722 epoch 75: loss: 0.00224 | coarse loss: 0.00435
2022-10-25 12:32:22.159524 epoch 76: loss: 0.00221 | coarse loss: 0.00434
2022-10-25 12:33:06.089091 epoch 77: loss: 0.00220 | coarse loss: 0.00435
2022-10-25 12:33:50.270612 epoch 78: loss: 0.00219 | coarse loss: 0.00436
2022-10-25 12:34:34.367136 epoch 79: loss: 0.00216 | coarse loss: 0.00435
2022-10-25 12:35:18.749282 epoch 80: loss: 0.00220 | coarse loss: 0.00435
2022-10-25 12:36:02.897974 epoch 81: loss: 0.00216 | coarse loss: 0.00435
2022-10-25 12:36:47.123725 epoch 82: loss: 0.00215 | coarse loss: 0.00434
2022-10-25 12:37:31.375402 epoch 83: loss: 0.00216 | coarse loss: 0.00435
2022-10-25 12:38:15.327178 epoch 84: loss: 0.00216 | coarse loss: 0.00435
2022-10-25 12:38:59.396653 epoch 85: loss: 0.00215 | coarse loss: 0.00435
2022-10-25 12:39:43.338005 epoch 86: loss: 0.00273 | coarse loss: 0.00435
2022-10-25 12:40:27.536727 epoch 87: loss: 0.00231 | coarse loss: 0.00435
2022-10-25 12:41:11.918563 epoch 88: loss: 0.00217 | coarse loss: 0.00435
2022-10-25 12:41:56.212654 epoch 89: loss: 0.00214 | coarse loss: 0.00434
2022-10-25 12:42:40.660740 epoch 90: loss: 0.00213 | coarse loss: 0.00436
2022-10-25 12:43:24.841059 epoch 91: loss: 0.00214 | coarse loss: 0.00435
2022-10-25 12:44:09.368898 epoch 92: loss: 0.00209 | coarse loss: 0.00435
2022-10-25 12:44:53.738057 epoch 93: loss: 0.00210 | coarse loss: 0.00434
2022-10-25 12:45:37.927858 epoch 94: loss: 0.00207 | coarse loss: 0.00435
2022-10-25 12:46:22.466914 epoch 95: loss: 0.00208 | coarse loss: 0.00435
2022-10-25 12:47:06.939769 epoch 96: loss: 0.00206 | coarse loss: 0.00435
2022-10-25 12:47:51.049016 epoch 97: loss: 0.00206 | coarse loss: 0.00435
2022-10-25 12:48:35.501678 epoch 98: loss: 0.00206 | coarse loss: 0.00435
2022-10-25 12:49:19.694712 epoch 99: loss: 0.00205 | coarse loss: 0.00435
2022-10-25 12:50:04.147206 epoch 100: loss: 0.00205 | coarse loss: 0.00435
2022-10-25 12:50:48.499500 epoch 101: loss: 0.00205 | coarse loss: 0.00435
2022-10-25 12:51:32.999471 epoch 102: loss: 0.00206 | coarse loss: 0.00435
2022-10-25 12:52:17.755612 epoch 103: loss: 0.00205 | coarse loss: 0.00434
2022-10-25 12:53:02.553906 epoch 104: loss: 0.00205 | coarse loss: 0.00436
2022-10-25 12:53:47.405288 epoch 105: loss: 0.00238 | coarse loss: 0.00434
2022-10-25 12:54:31.763377 epoch 106: loss: 0.00206 | coarse loss: 0.00435
2022-10-25 12:55:16.378526 epoch 107: loss: 0.00202 | coarse loss: 0.00435
2022-10-25 12:56:00.747225 epoch 108: loss: 0.00202 | coarse loss: 0.00436
2022-10-25 12:56:45.278114 epoch 109: loss: 0.00202 | coarse loss: 0.00434
2022-10-25 12:57:29.627683 epoch 110: loss: 0.00199 | coarse loss: 0.00435
2022-10-25 12:58:13.931387 epoch 111: loss: 0.00200 | coarse loss: 0.00436
2022-10-25 12:58:58.339320 epoch 112: loss: 0.00201 | coarse loss: 0.00436
2022-10-25 12:59:42.480714 epoch 113: loss: 0.00199 | coarse loss: 0.00435
2022-10-25 13:00:26.674034 epoch 114: loss: 0.00196 | coarse loss: 0.00436
2022-10-25 13:01:10.910211 epoch 115: loss: 0.00197 | coarse loss: 0.00434
2022-10-25 13:01:55.195194 epoch 116: loss: 0.00197 | coarse loss: 0.00436
2022-10-25 13:02:39.803545 epoch 117: loss: 0.00194 | coarse loss: 0.00436
2022-10-25 13:03:24.300713 epoch 118: loss: 0.00195 | coarse loss: 0.00435
2022-10-25 13:04:08.646925 epoch 119: loss: 0.00196 | coarse loss: 0.00435
2022-10-25 13:04:53.136751 epoch 120: loss: 0.00196 | coarse loss: 0.00434
2022-10-25 13:05:37.253488 epoch 121: loss: 0.00195 | coarse loss: 0.00434
2022-10-25 13:06:21.679616 epoch 122: loss: 0.00197 | coarse loss: 0.00435
2022-10-25 13:07:06.073372 epoch 123: loss: 0.00261 | coarse loss: 0.00434
2022-10-25 13:07:50.812125 epoch 124: loss: 0.00235 | coarse loss: 0.00434
2022-10-25 13:08:35.165817 epoch 125: loss: 0.00198 | coarse loss: 0.00435
2022-10-25 13:09:19.658225 epoch 126: loss: 0.00195 | coarse loss: 0.00435
2022-10-25 13:10:03.981670 epoch 127: loss: 0.00196 | coarse loss: 0.00434
2022-10-25 13:10:48.598557 epoch 128: loss: 0.00195 | coarse loss: 0.00434
