/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-103.maverick2.tacc.utexas.edu
Mon Oct 24 07:18:48 CDT 2022
start training unet 128
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-24 07:19:31.750094 epoch 1: loss: 0.03716 | coarse loss: 0.02121
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-24 07:32:41.160400 epoch 65: loss: 0.01049 | coarse loss: 0.02112
2022-10-24 07:32:53.610879 epoch 66: loss: 0.01045 | coarse loss: 0.02112
2022-10-24 07:33:06.040185 epoch 67: loss: 0.01083 | coarse loss: 0.02120
2022-10-24 07:33:18.344518 epoch 68: loss: 0.01048 | coarse loss: 0.02116
2022-10-24 07:33:30.777357 epoch 69: loss: 0.01046 | coarse loss: 0.02114
2022-10-24 07:33:43.114389 epoch 70: loss: 0.01048 | coarse loss: 0.02116
2022-10-24 07:33:55.556061 epoch 71: loss: 0.01034 | coarse loss: 0.02120
2022-10-24 07:34:07.842544 epoch 72: loss: 0.01029 | coarse loss: 0.02121
2022-10-24 07:34:20.224893 epoch 73: loss: 0.01076 | coarse loss: 0.02115
2022-10-24 07:34:32.639347 epoch 74: loss: 0.01052 | coarse loss: 0.02114
2022-10-24 07:34:44.913915 epoch 75: loss: 0.01046 | coarse loss: 0.02127
2022-10-24 07:34:57.218972 epoch 76: loss: 0.01023 | coarse loss: 0.02112
2022-10-24 07:35:09.543417 epoch 77: loss: 0.01018 | coarse loss: 0.02112
2022-10-24 07:35:21.867539 epoch 78: loss: 0.01074 | coarse loss: 0.02115
2022-10-24 07:35:34.139988 epoch 79: loss: 0.01030 | coarse loss: 0.02115
2022-10-24 07:35:46.357911 epoch 80: loss: 0.01018 | coarse loss: 0.02118
2022-10-24 07:35:58.597604 epoch 81: loss: 0.01013 | coarse loss: 0.02114
2022-10-24 07:36:10.799720 epoch 82: loss: 0.01007 | coarse loss: 0.02119
2022-10-24 07:36:23.080112 epoch 83: loss: 0.01004 | coarse loss: 0.02115
2022-10-24 07:36:35.474207 epoch 84: loss: 0.01115 | coarse loss: 0.02122
2022-10-24 07:36:47.612973 epoch 85: loss: 0.01073 | coarse loss: 0.02116
2022-10-24 07:36:59.877163 epoch 86: loss: 0.01045 | coarse loss: 0.02122
2022-10-24 07:37:12.110178 epoch 87: loss: 0.01010 | coarse loss: 0.02119
2022-10-24 07:37:24.329689 epoch 88: loss: 0.01015 | coarse loss: 0.02123
2022-10-24 07:37:36.653604 epoch 89: loss: 0.01001 | coarse loss: 0.02121
2022-10-24 07:37:48.847037 epoch 90: loss: 0.00997 | coarse loss: 0.02118
2022-10-24 07:38:01.171697 epoch 91: loss: 0.00997 | coarse loss: 0.02116
2022-10-24 07:38:13.436528 epoch 92: loss: 0.01023 | coarse loss: 0.02111
2022-10-24 07:38:25.771135 epoch 93: loss: 0.01004 | coarse loss: 0.02119
2022-10-24 07:38:38.066293 epoch 94: loss: 0.01005 | coarse loss: 0.02115
2022-10-24 07:38:50.378054 epoch 95: loss: 0.01073 | coarse loss: 0.02120
2022-10-24 07:39:02.715810 epoch 96: loss: 0.01016 | coarse loss: 0.02114
2022-10-24 07:39:15.143080 epoch 97: loss: 0.01001 | coarse loss: 0.02116
2022-10-24 07:39:27.605651 epoch 98: loss: 0.01002 | coarse loss: 0.02121
2022-10-24 07:39:39.905595 epoch 99: loss: 0.01011 | coarse loss: 0.02122
2022-10-24 07:39:52.278845 epoch 100: loss: 0.00986 | coarse loss: 0.02111
2022-10-24 07:40:04.587565 epoch 101: loss: 0.00993 | coarse loss: 0.02119
2022-10-24 07:40:16.973585 epoch 102: loss: 0.01054 | coarse loss: 0.02116
2022-10-24 07:40:29.399489 epoch 103: loss: 0.01010 | coarse loss: 0.02119
2022-10-24 07:40:41.630359 epoch 104: loss: 0.00992 | coarse loss: 0.02121
2022-10-24 07:40:54.010660 epoch 105: loss: 0.00982 | coarse loss: 0.02119
2022-10-24 07:41:06.482810 epoch 106: loss: 0.01009 | coarse loss: 0.02119
2022-10-24 07:41:18.930646 epoch 107: loss: 0.00997 | coarse loss: 0.02118
2022-10-24 07:41:31.215231 epoch 108: loss: 0.00990 | coarse loss: 0.02124
2022-10-24 07:41:43.470328 epoch 109: loss: 0.00983 | coarse loss: 0.02118
2022-10-24 07:41:55.789224 epoch 110: loss: 0.00987 | coarse loss: 0.02121
2022-10-24 07:42:08.181078 epoch 111: loss: 0.00991 | coarse loss: 0.02120
2022-10-24 07:42:20.381567 epoch 112: loss: 0.01252 | coarse loss: 0.02116
2022-10-24 07:42:32.609782 epoch 113: loss: 0.01008 | coarse loss: 0.02119
2022-10-24 07:42:44.934984 epoch 114: loss: 0.00986 | coarse loss: 0.02116
2022-10-24 07:42:57.253142 epoch 115: loss: 0.00995 | coarse loss: 0.02120
2022-10-24 07:43:09.492894 epoch 116: loss: 0.00987 | coarse loss: 0.02115
2022-10-24 07:43:21.908426 epoch 117: loss: 0.00981 | coarse loss: 0.02117
2022-10-24 07:43:34.356927 epoch 118: loss: 0.01012 | coarse loss: 0.02118
2022-10-24 07:43:46.805323 epoch 119: loss: 0.01042 | coarse loss: 0.02117
2022-10-24 07:43:59.167416 epoch 120: loss: 0.00992 | coarse loss: 0.02120
2022-10-24 07:44:11.616433 epoch 121: loss: 0.00989 | coarse loss: 0.02125
2022-10-24 07:44:23.922857 epoch 122: loss: 0.00978 | coarse loss: 0.02114
2022-10-24 07:44:36.299925 epoch 123: loss: 0.00979 | coarse loss: 0.02118
2022-10-24 07:44:48.594238 epoch 124: loss: 0.00971 | coarse loss: 0.02123
2022-10-24 07:45:01.039508 epoch 125: loss: 0.00980 | coarse loss: 0.02113
2022-10-24 07:45:13.297162 epoch 126: loss: 0.00976 | coarse loss: 0.02118
2022-10-24 07:45:25.578220 epoch 127: loss: 0.00993 | coarse loss: 0.02114
2022-10-24 07:45:37.904831 epoch 128: loss: 0.00980 | coarse loss: 0.02119
2022-10-24 07:45:50.197337 epoch 129: loss: 0.01063 | coarse loss: 0.02117
2022-10-24 07:46:02.484239 epoch 130: loss: 0.00993 | coarse loss: 0.02121
2022-10-24 07:46:14.765361 epoch 131: loss: 0.00975 | coarse loss: 0.02119
2022-10-24 07:46:27.046070 epoch 132: loss: 0.00974 | coarse loss: 0.02115
2022-10-24 07:46:39.413697 epoch 133: loss: 0.00972 | coarse loss: 0.02120
