/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-107.maverick2.tacc.utexas.edu
Fri Sep 16 00:02:39 CDT 2022
start training tiramisu
gpu available: True
setting up data
2022-09-16 08:03:24.410871 epoch 70: loss: 0.00802 | coarse loss: 0.02796 
2022-09-16 08:10:15.897324 epoch 71: loss: 0.00793 | coarse loss: 0.02796 
2022-09-16 08:17:07.852659 epoch 72: loss: 0.00795 | coarse loss: 0.02796 
2022-09-16 08:23:59.530598 epoch 73: loss: 0.00798 | coarse loss: 0.02796 
2022-09-16 08:30:51.173755 epoch 74: loss: 0.00788 | coarse loss: 0.02796 
2022-09-16 08:37:42.712390 epoch 75: loss: 0.00791 | coarse loss: 0.02796 
2022-09-16 08:44:34.442483 epoch 76: loss: 0.00789 | coarse loss: 0.02796 
2022-09-16 08:51:25.998540 epoch 77: loss: 0.00786 | coarse loss: 0.02796 
2022-09-16 08:58:17.856495 epoch 78: loss: 0.00787 | coarse loss: 0.02796 
2022-09-16 09:05:09.515508 epoch 79: loss: 0.00784 | coarse loss: 0.02796 
2022-09-16 09:12:00.882842 epoch 80: loss: 0.00784 | coarse loss: 0.02796 
2022-09-16 09:18:52.301796 epoch 81: loss: 0.00785 | coarse loss: 0.02796 
2022-09-16 09:25:44.076788 epoch 82: loss: 0.00780 | coarse loss: 0.02796 
2022-09-16 09:32:35.380623 epoch 83: loss: 0.00779 | coarse loss: 0.02796 
2022-09-16 09:39:26.788826 epoch 84: loss: 0.00774 | coarse loss: 0.02796 
2022-09-16 09:46:18.183552 epoch 85: loss: 0.00775 | coarse loss: 0.02796 
2022-09-16 09:53:09.583224 epoch 86: loss: 0.00774 | coarse loss: 0.02796 
2022-09-16 10:00:00.934976 epoch 87: loss: 0.00776 | coarse loss: 0.02796 
2022-09-16 10:06:52.707029 epoch 88: loss: 0.00772 | coarse loss: 0.02796 
2022-09-16 10:13:44.318425 epoch 89: loss: 0.00771 | coarse loss: 0.02796 
2022-09-16 10:20:36.028003 epoch 90: loss: 0.00767 | coarse loss: 0.02796 
2022-09-16 10:27:27.533807 epoch 91: loss: 0.00769 | coarse loss: 0.02796 
2022-09-16 10:34:19.352684 epoch 92: loss: 0.00766 | coarse loss: 0.02796 
2022-09-16 10:41:10.742909 epoch 93: loss: 0.00765 | coarse loss: 0.02796 
2022-09-16 10:48:02.370737 epoch 94: loss: 0.00763 | coarse loss: 0.02796 
2022-09-16 10:54:53.833992 epoch 95: loss: 0.00761 | coarse loss: 0.02796 
2022-09-16 11:01:45.391151 epoch 96: loss: 0.00761 | coarse loss: 0.02796 
2022-09-16 11:08:36.813662 epoch 97: loss: 0.00754 | coarse loss: 0.02796 
2022-09-16 11:15:28.659421 epoch 98: loss: 0.00761 | coarse loss: 0.02796 
2022-09-16 11:22:20.514440 epoch 99: loss: 0.00754 | coarse loss: 0.02796 
2022-09-16 11:29:11.855082 epoch 100: loss: 0.00761 | coarse loss: 0.02796 
2022-09-16 11:36:03.461465 epoch 101: loss: 0.00754 | coarse loss: 0.02796 
2022-09-16 11:42:54.902371 epoch 102: loss: 0.00751 | coarse loss: 0.02796 
2022-09-16 11:49:46.581850 epoch 103: loss: 0.00749 | coarse loss: 0.02796 
2022-09-16 11:56:37.968196 epoch 104: loss: 0.00749 | coarse loss: 0.02796 
2022-09-16 12:03:29.797257 epoch 105: loss: 0.00748 | coarse loss: 0.02796 
